CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
IOCL,IOCL-567256,DEEP GROOVE BEARING 6204,Bearings,Ball Bearing,ISO 15; Bearing 6204,Chrome Steel,6204,,,,NOS,Supreme Engineering,SUP-785-99,Panipat Refinery,Active,14739,2025-02-10,deep groove bearing 6204,iso 15; bearing 6204,chrome steel,6204,,Supreme Engineering,SUP-785-99,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-520268,PRESSURE RELIEF VALVE 2 in SS 316,Safety,Safety Valve,API 526; 2 in; SS 316,SS 316,2 in,,,SS,NOS,Prime Electricals,PRI-345-59,Paradip Refinery,Active,20896,2025-07-06,pressure relief valve 2 in stainless steel 316,api 526; 2 in; ss 316,ss 316,2 in,ss,Prime Electricals,PRI-345-59,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-851194,GATE VALVE 6 in API 600,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,Eastern Cables,EAS-787-16,Chennai Refinery,Active,21223,2026-03-31,gate valve 6 in api 600,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,Eastern Cables,EAS-787-16,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-101392,M20 HEX NUT,Fasteners,Nut,IS 1364; M20; Zinc Plated,Carbon Steel,M20,,,Zinc Plated,NOS,Prime Electricals,PRI-928-33,Visakh Refinery,Blocked,20190,2024-09-29,m20 hexagonal nut,is 1364; m20; zinc plated,carbon steel,m20,zinc plated,Prime Electricals,PRI-928-33,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-816510,BALL VALVE 3 in API 608,Valves,Ball Valve,API 608; 3 in; SS 316,SS 316,3 in,,,SS,NOS,Prime Electricals,PRI-187-93,Ahmedabad Asset,Active,5410,2024-05-19,ball valve 3 in api 608,api 608; 3 in; ss 316,ss 316,3 in,ss,Prime Electricals,PRI-187-93,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-108627,FLOATING BALL VALVE 1/2 in,Valves,Ball Valve,API 608; 1/2 in; SS 316,SS 316,1/2 in,,,SS,NOS,Prime Electricals,PRI-255-37,Mumbai Offshore,Active,20019,2025-06-08,floating ball valve 1/2 in,api 608; 1/2 in; ss 316,ss 316,1/2 in,ss,Prime Electricals,PRI-255-37,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-280212,SEAMLESS STEEL PIPE 1/2 in API 5L,Pipes & Fittings,Pipe,API 5L; 1/2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1/2 in,3000 mm,,Bare,MTR,Prime Electricals,PRI-616-53,Visakh Refinery,Active,11770,2024-07-26,seamless steel pipe 1/2 in api 5l,api 5l; 1/2 in; astm a106 gr.b,astm a106 gr.b,1/2 in,bare,Prime Electricals,PRI-616-53,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-374060,HYD HOSE 3/4 in 1000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 3/4 in; 1000 mm,Synthetic Rubber,3/4 in,1000 mm,,Rubber,MTR,ABC Industrial Products,ABC-959-45,Mumbai Refinery,Active,22132,2026-01-06,hyd hose 3/4 in 1000 mm,sae 100 r2; 3/4 in; 1000 mm,synthetic rubber,3/4 in,rubber,ABC Industrial Products,ABC-959-45,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-241074,FLAT WASHER M12,Fasteners,Washer,IS 2016; M12; Zinc Plated,Carbon Steel,M12,,,Zinc Plated,NOS,Metro Pumps & Valves,MET-951-24,Chennai Refinery,Active,21675,2026-05-07,flat washer m12,is 2016; m12; zinc plated,carbon steel,m12,zinc plated,Metro Pumps & Valves,MET-951-24,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-659026,POWER CABLE 1.5 sq mm XLPE Copper,Electrical,Cable,IS 7098; 1.5 sq mm; 1000 m,XLPE Copper,1.5 sq mm,1000 mm,,PVC,MTR,Precision Fasteners,PRE-185-10,Chennai Refinery,Active,13589,2024-05-23,power cable 1.5 sq mm xlpe copper,is 7098; 1.5 sq mm; 1000 m,xlpe copper,1.5 sq mm,pvc,Precision Fasteners,PRE-185-10,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-521085,HYDRAULIC HOSE 1 in,Hoses,Hydraulic Hose,SAE 100 R2; 1 in; 5000 mm,Synthetic Rubber,1 in,5000 mm,,Rubber,MTR,Supreme Engineering,SUP-269-49,Mumbai Offshore,Active,23542,2024-07-04,hydraulic hose 1 in,sae 100 r2; 1 in; 5000 mm,synthetic rubber,1 in,rubber,Supreme Engineering,SUP-269-49,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-785802,HRC FUSE 63 A,Electrical,Fuse,IS 13703; 63 A,Ceramic,63 A,,,,MTR,Supreme Engineering,SUP-791-93,Mumbai Refinery,Active,20740,2026-04-22,high rupturing capacity fuse 63 a,is 13703; 63 a,ceramic,63 a,,Supreme Engineering,SUP-791-93,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-188505,DEEP GROOVE BEARING 6204,Bearings,Ball Bearing,ISO 15; Bearing 6204,Chrome Steel,6204,,,,NOS,National Bearing Works,NAT-294-75,Paradip Refinery,Active,8337,2026-08-17,deep groove bearing 6204,iso 15; bearing 6204,chrome steel,6204,,National Bearing Works,NAT-294-75,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-834527,HEX BOLT M20 X 50 MM ZINC PLATED,Fasteners,Bolt,IS 1363; M20 x 50 mm; Zinc Plated,Carbon Steel,M20,50 mm,12 mm,Zinc Plated,NOS,Supreme Engineering,SUP-700-41,Manali Terminal,Active,21133,2024-05-19,hexagonal bolt m20 x 50 mm zinc plated,is 1363; m20 x 50 mm; zinc plated,carbon steel,m20,zinc plated,Supreme Engineering,SUP-700-41,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-129112,GATE VALVE FLANGED 2 in,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Metro Pumps & Valves,MET-603-43,Ahmedabad Asset,Blocked,16286,2025-06-17,gate valve flanged 2 in,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Metro Pumps & Valves,MET-603-43,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-852780,GATE VALVE FLANGED 3 in,Valves,Gate Valve,API 600; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Prime Electricals,PRI-178-88,Visakh Refinery,Active,1062,2025-09-03,gate valve flanged 3 in,api 600; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Prime Electricals,PRI-178-88,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-442770,GLOBE VALVE 1 in API 623,Valves,Globe Valve,API 623; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,Eastern Cables,EAS-827-21,Panipat Refinery,Active,19277,2025-06-18,globe valve 1 in api 623,api 623; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,Eastern Cables,EAS-827-21,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-864102,INDUSTRIAL GEAR LUBRICANT ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Bharat Industrial Works,BHA-538-61,Mumbai Refinery,Active,11927,2025-01-24,industrial gear lubricant iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Bharat Industrial Works,BHA-538-61,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-671618,GLOBE VALVE FLANGED 3 in ASTM A216 WCB,Valves,Globe Valve,API 623; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,National Bearing Works,NAT-191-95,Vishakha Terminal,Active,11638,2026-01-30,globe valve flanged 3 in astm a216 wcb,api 623; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,National Bearing Works,NAT-191-95,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-560265,PT100 RTD 3-wire 300,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,10 mm,SS,NOS,Bharat Industrial Works,BHA-579-84,Manali Terminal,Active,17043,2024-05-21,pt100 rtd 3-wire 300,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Bharat Industrial Works,BHA-579-84,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-435935,GATE VALVE 1 in API 600,Valves,Gate Valve,API 600; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,ABC Industrial Products,ABC-850-65,Mehsana Asset,Inactive,22213,2025-02-08,gate valve 1 in api 600,api 600; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,ABC Industrial Products,ABC-850-65,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-465873,FLAT WASHER M10,Fasteners,Washer,IS 2016; M10; Zinc Plated,Carbon Steel,M10,,,Zinc Plated,NOS,Bharat Industrial Works,BHA-850-89,Vishakha Terminal,Active,23543,2024-09-04,flat washer m10,is 2016; m10; zinc plated,carbon steel,m10,zinc plated,Bharat Industrial Works,BHA-850-89,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-595652,90 DEGREE ELBOW 4 in ASME B16.9,Pipes & Fittings,Elbow,ASME B16.9; 4 in; ASTM A234 WPB,ASTM A234 WPB,4 in,,,Bare,MTR,Eastern Cables,EAS-270-34,Ahmedabad Asset,Active,19353,2026-01-15,90 degree elbow 4 in asme b16.9,asme b16.9; 4 in; astm a234 wpb,astm a234 wpb,4 in,bare,Eastern Cables,EAS-270-34,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-859720,XLPE CABLE 25 sq mm,Electrical,Cable,IS 7098; 25 sq mm; 500 m,XLPE Aluminium,25 sq mm,500 mm,,PVC,MTR,Shree Valves & Fittings,SHR-728-52,Ahmedabad Asset,Active,10036,2025-04-05,xlpe cable 25 sq mm,is 7098; 25 sq mm; 500 m,xlpe aluminium,25 sq mm,pvc,Shree Valves & Fittings,SHR-728-52,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-283206,DEEP GROOVE BEARING 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,Prime Electricals,PRI-420-74,Chennai Refinery,Active,6663,2026-03-29,deep groove bearing 6207,iso 15; bearing 6207,chrome steel,6207,,Prime Electricals,PRI-420-74,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-440766,RTD PT100 3-wire 300 MM,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,8 mm,SS,NOS,Shree Valves & Fittings,SHR-335-46,Paradip Refinery,Active,1084,2025-05-07,rtd pt100 3-wire 300 mm,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Shree Valves & Fittings,SHR-335-46,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-664701,GLOBE VALVE 2 in API 623,Valves,Globe Valve,API 623; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Prime Electricals,PRI-546-14,Mumbai Refinery,Active,6600,2025-05-29,globe valve 2 in api 623,api 623; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Prime Electricals,PRI-546-14,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-668363,SPIRAL WOUND GASKET 3 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 3 in; Graphite/SS 316,Graphite/SS 316,3 in,,,SS,NOS,National Bearing Works,NAT-467-95,Mumbai Refinery,Active,8294,2025-11-10,spiral wound gasket 3 in graphite/stainless steel 316,asme b16.20; 3 in; graphite/ss 316,graphite/ss 316,3 in,ss,National Bearing Works,NAT-467-95,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-216119,10 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 10 sq mm; 1000 m,XLPE Aluminium,10 sq mm,1000 mm,,PVC,MTR,Apex Industrial Systems,APE-728-30,Ahmedabad Asset,Active,6223,2026-08-05,10 sq mm sq mm power cable,is 7098; 10 sq mm; 1000 m,xlpe aluminium,10 sq mm,pvc,Apex Industrial Systems,APE-728-30,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-757723,BEARING NO 6209,Bearings,Ball Bearing,ISO 15; Bearing 6209,Chrome Steel,6209,,,,NOS,Apex Industrial Systems,APE-606-84,Mehsana Asset,Active,14894,2023-12-17,bearing number 6209,iso 15; bearing 6209,chrome steel,6209,,Apex Industrial Systems,APE-606-84,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-738428,2.5 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 2.5 sq mm; 500 m,XLPE Copper,2.5 sq mm,500 mm,,PVC,MTR,Shree Valves & Fittings,SHR-526-76,Chennai Refinery,Active,8935,2024-07-03,2.5 sq mm sq mm power cable,is 7098; 2.5 sq mm; 500 m,xlpe copper,2.5 sq mm,pvc,Shree Valves & Fittings,SHR-526-76,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-361327,HYDRAULIC HOSE 1 in,Hoses,Hydraulic Hose,SAE 100 R2; 1 in; 5000 mm,Synthetic Rubber,1 in,5000 mm,,Rubber,MTR,Apex Industrial Systems,APE-824-24,Mumbai Offshore,Active,16652,2025-12-23,hydraulic hose 1 in,sae 100 r2; 1 in; 5000 mm,synthetic rubber,1 in,rubber,Apex Industrial Systems,APE-824-24,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-845509,WELD NECK FLANGE 4 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 4 in; ASTM A105,ASTM A105,4 in,,,Bare,MTR,Larsen Engineering,LAR-538-29,Chennai Refinery,Active,1429,2025-04-08,weld neck flange 4 in astm a105,asme b16.5; 4 in; astm a105,astm a105,4 in,bare,Larsen Engineering,LAR-538-29,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-426118,HYD HOSE 1-1/2 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1-1/2 in; 5000 mm,Synthetic Rubber,1-1/2 in,5000 mm,,Rubber,MTR,Eastern Cables,EAS-992-25,Chennai Refinery,Active,23239,2026-02-21,hyd hose 1-1/2 in 5000 mm,sae 100 r2; 1-1/2 in; 5000 mm,synthetic rubber,1-1/2 in,rubber,Eastern Cables,EAS-992-25,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-790812,SPIRAL WOUND GASKET 3 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 3 in; Graphite/SS 316,Graphite/SS 316,3 in,,,SS,NOS,Metro Pumps & Valves,MET-334-74,Chennai Refinery,Active,4430,2024-07-06,spiral wound gasket 3 in graphite/stainless steel 316,asme b16.20; 3 in; graphite/ss 316,graphite/ss 316,3 in,ss,Metro Pumps & Valves,MET-334-74,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-258908,GLOBE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Globe Valve,API 623; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,ABC Industrial Products,ABC-120-83,Manali Terminal,Active,12045,2024-04-20,globe valve flanged 2 in astm a216 wcb,api 623; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,ABC Industrial Products,ABC-120-83,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-165023,MATERIAL: HEX BOLT M20 X 30 MM,Fasteners,Bolt,IS 1363; M20 x 30 mm; Zinc Plated,Carbon Steel,M20,30 mm,8 mm,Zinc Plated,NOS,Hindustan Mechanical,HIN-828-88,Vishakha Terminal,Active,5320,2025-12-29,material: hexagonal bolt m20 x 30 mm,is 1363; m20 x 30 mm; zinc plated,carbon steel,m20,zinc plated,Hindustan Mechanical,HIN-828-88,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-606048,WELD NECK FLANGE 4 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 4 in; ASTM A105,ASTM A105,4 in,,,Bare,MTR,Prime Electricals,PRI-748-23,Ahmedabad Asset,Blocked,9481,2024-10-26,weld neck flange 4 in astm a105,asme b16.5; 4 in; astm a105,astm a105,4 in,bare,Prime Electricals,PRI-748-23,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-823638,GATE VALVE FLANGED 4 in,Valves,Gate Valve,API 600; 4 in; ASTM A216 WCB,ASTM A216 WCB,4 in,,,Painted,NOS,Prime Electricals,PRI-959-71,Mehsana Asset,Inactive,4204,2026-08-25,gate valve flanged 4 in,api 600; 4 in; astm a216 wcb,astm a216 wcb,4 in,painted,Prime Electricals,PRI-959-71,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-671620,PRESSURE INDICATOR 0-5 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-5 bar,SS 304,0-5 bar,,,SS,NOS,Larsen Engineering,LAR-581-73,Ahmedabad Asset,Blocked,22825,2024-01-27,pressure indicator 0-5 bar,en 837-1; range 0-5 bar,ss 304,0-5 bar,ss,Larsen Engineering,LAR-581-73,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-290654,PRESSURE SAFETY VALVE 1 in,Safety,Safety Valve,API 526; 1 in; SS 316,SS 316,1 in,,,SS,NOS,National Bearing Works,NAT-489-70,Manali Terminal,Blocked,15607,2025-06-25,pressure safety valve 1 in,api 526; 1 in; ss 316,ss 316,1 in,ss,National Bearing Works,NAT-489-70,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-954887,M8 HEX NUT,Fasteners,Nut,IS 1364; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,Bharat Industrial Works,BHA-887-49,Chennai Refinery,Active,10954,2024-10-07,m8 hexagonal nut,is 1364; m8; galvanized,carbon steel,m8,galvanized,Bharat Industrial Works,BHA-887-49,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-690056,FLOATING BALL VALVE 1 in,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Supreme Engineering,SUP-156-14,Mumbai Refinery,Active,17997,2026-04-29,floating ball valve 1 in,api 608; 1 in; ss 316,ss 316,1 in,ss,Supreme Engineering,SUP-156-14,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-154467,BALL VALVE 4 in API 608,Valves,Ball Valve,API 608; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Metro Pumps & Valves,MET-128-21,Visakh Refinery,Active,11960,2025-10-01,ball valve 4 in api 608,api 608; 4 in; ss 316,ss 316,4 in,ss,Metro Pumps & Valves,MET-128-21,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-300709,SEAMLESS STEEL PIPE 3 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 3 in; ASTM A106 Gr.B,ASTM A106 Gr.B,3 in,3000 mm,,Black,MTR,Supreme Engineering,SUP-737-58,Paradip Refinery,Blocked,23754,2024-03-20,seamless steel pipe 3 in astm a106 gr.b,api 5l; 3 in; astm a106 gr.b,astm a106 gr.b,3 in,black,Supreme Engineering,SUP-737-58,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-656776,90 DEGREE ELBOW 1 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 1 in; ASTM A234 WPB,ASTM A234 WPB,1 in,,,Bare,MTR,Shree Valves & Fittings,SHR-865-68,Mumbai Offshore,Active,5764,2026-08-25,90 degree elbow 1 in astm a234 wpb,asme b16.9; 1 in; astm a234 wpb,astm a234 wpb,1 in,bare,Shree Valves & Fittings,SHR-865-68,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-748312,16 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 16 sq mm; 1000 m,XLPE Aluminium,16 sq mm,1000 mm,,PVC,MTR,Larsen Engineering,LAR-363-46,Mumbai Offshore,Active,1161,2025-04-08,16 sq mm sq mm power cable,is 7098; 16 sq mm; 1000 m,xlpe aluminium,16 sq mm,pvc,Larsen Engineering,LAR-363-46,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-202122,WASHER M20 ZINC PLATED,Fasteners,Washer,IS 2016; M20; Zinc Plated,Carbon Steel,M20,,,Zinc Plated,NOS,Bharat Industrial Works,BHA-465-92,Ahmedabad Asset,Active,11224,2024-08-02,washer m20 zinc plated,is 2016; m20; zinc plated,carbon steel,m20,zinc plated,Bharat Industrial Works,BHA-465-92,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-302106,PLAIN WASHER M16 ZINC PLATED,Fasteners,Washer,IS 2016; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Apex Industrial Systems,APE-665-13,Chennai Refinery,Active,24197,2026-07-27,plain washer m16 zinc plated,is 2016; m16; zinc plated,carbon steel,m16,zinc plated,Apex Industrial Systems,APE-665-13,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-525208,HEX BOLT M20 X 40 MM GALVANIZED,Fasteners,Bolt,IS 1363; M20 x 40 mm; Galvanized,Carbon Steel,M20,40 mm,10 mm,Galvanized,NOS,Shree Valves & Fittings,SHR-785-28,Manali Terminal,Active,4642,2024-09-03,hexagonal bolt m20 x 40 mm galvanized,is 1363; m20 x 40 mm; galvanized,carbon steel,m20,galvanized,Shree Valves & Fittings,SHR-785-28,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-708912,SEAMLESS STEEL PIPE 3 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 3 in; ASTM A106 Gr.B,ASTM A106 Gr.B,3 in,6000 mm,,Black,MTR,Larsen Engineering,LAR-504-97,Chennai Refinery,Active,9363,2024-08-28,seamless steel pipe 3 in astm a106 gr.b,api 5l; 3 in; astm a106 gr.b,astm a106 gr.b,3 in,black,Larsen Engineering,LAR-504-97,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-760402,25 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 25 sq mm; 1000 m,XLPE Aluminium,25 sq mm,1000 mm,,PVC,MTR,Bharat Industrial Works,BHA-779-64,Vishakha Terminal,Active,5815,2025-06-02,25 sq mm sq mm power cable,is 7098; 25 sq mm; 1000 m,xlpe aluminium,25 sq mm,pvc,Bharat Industrial Works,BHA-779-64,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-260141,HEXAGONAL NUT M12 ZINC PLATED,Fasteners,Nut,IS 1364; M12; Zinc Plated,Carbon Steel,M12,,,Zinc Plated,NOS,Bharat Industrial Works,BHA-291-14,Manali Terminal,Active,18361,2024-12-18,hexagonal nut m12 zinc plated,is 1364; m12; zinc plated,carbon steel,m12,zinc plated,Bharat Industrial Works,BHA-291-14,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-847849,HEXAGONAL NUT M20 ZINC PLATED,Fasteners,Nut,IS 1364; M20; Zinc Plated,Carbon Steel,M20,,,Zinc Plated,NOS,Metro Pumps & Valves,MET-752-89,Manali Terminal,Active,21453,2026-05-30,hexagonal nut m20 zinc plated,is 1364; m20; zinc plated,carbon steel,m20,zinc plated,Metro Pumps & Valves,MET-752-89,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-499067,PRESSURE GAUGE 0-10 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-10 bar,SS 304,0-10 bar,,,SS,NOS,Prime Electricals,PRI-432-72,Ahmedabad Asset,Active,1457,2024-12-13,pressure gauge 0-10 bar,en 837-1; range 0-10 bar,ss 304,0-10 bar,ss,Prime Electricals,PRI-432-72,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-673510,BEARING NO 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,National Bearing Works,NAT-306-67,Mehsana Asset,Active,22755,2024-06-14,bearing number 6207,iso 15; bearing 6207,chrome steel,6207,,National Bearing Works,NAT-306-67,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-623732,16 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 16 sq mm; 1000 m,XLPE Copper,16 sq mm,1000 mm,,PVC,MTR,ABC Industrial Products,ABC-474-50,Mumbai Offshore,Active,21310,2025-06-21,16 sq mm sq mm power cable,is 7098; 16 sq mm; 1000 m,xlpe copper,16 sq mm,pvc,ABC Industrial Products,ABC-474-50,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-239394,PIPE 6 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 6 in; ASTM A106 Gr.B,ASTM A106 Gr.B,6 in,3000 mm,,Bare,MTR,Eastern Cables,EAS-832-92,Mathura Refinery,Active,21709,2026-05-16,pipe 6 in astm a106 gr.b,api 5l; 6 in; astm a106 gr.b,astm a106 gr.b,6 in,bare,Eastern Cables,EAS-832-92,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-576211,POWER CABLE 50 sq mm XLPE Aluminium,Electrical,Cable,IS 7098; 50 sq mm; 500 m,XLPE Aluminium,50 sq mm,500 mm,,PVC,MTR,National Bearing Works,NAT-358-23,Paradip Refinery,Active,3848,2024-02-09,power cable 50 sq mm xlpe aluminium,is 7098; 50 sq mm; 500 m,xlpe aluminium,50 sq mm,pvc,National Bearing Works,NAT-358-23,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-779678,BEARING NO 6203,Bearings,Ball Bearing,ISO 15; Bearing 6203,Chrome Steel,6203,,,,NOS,Apex Industrial Systems,APE-286-41,Mathura Refinery,Active,17374,2026-04-14,bearing number 6203,iso 15; bearing 6203,chrome steel,6203,,Apex Industrial Systems,APE-286-41,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-871898,HEXAGONAL BOLT M20 X 100MM,Fasteners,Bolt,IS 1363; M20 x 100 mm; Galvanized,Carbon Steel,M20,100 mm,20 mm,Galvanized,NOS,Bharat Industrial Works,BHA-867-22,Panipat Refinery,Active,7514,2024-07-29,hexagonal bolt m20 x 100mm,is 1363; m20 x 100 mm; galvanized,carbon steel,m20,galvanized,Bharat Industrial Works,BHA-867-22,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-142039,HEX NUT M8 ZINC PLATED,Fasteners,Nut,IS 1364; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Bharat Industrial Works,BHA-420-31,Mathura Refinery,Active,15495,2026-08-12,hexagonal nut m8 zinc plated,is 1364; m8; zinc plated,carbon steel,m8,zinc plated,Bharat Industrial Works,BHA-420-31,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-901320,HRC FUSE 16 A,Electrical,Fuse,IS 13703; 16 A,Ceramic,16 A,,,,MTR,ABC Industrial Products,ABC-663-62,Chennai Refinery,Active,15267,2024-11-06,high rupturing capacity fuse 16 a,is 13703; 16 a,ceramic,16 a,,ABC Industrial Products,ABC-663-62,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
