CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
SAIL,Steel,SAIL-300223,"Rolling Mill Drive Motor, Copper Wound, SIZE 11 kV",Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,,,,MTR,BHEL,BHE-RMDM-11kV-54,Durgapur Steel Plant,Active,10234,2025-01-13,21235.91
IOCL,Oil & Gas,IOCL-110197,SPARE-REFINERY FLARE SENSOR SS316 1/2 in NPT,Instrumentation,Refinery Flare Sensor,API 537,SS316,1/2 in NPT,,,,NOS,ABB,ABB-RFS-1-2inNPT-10,Panipat Refinery,Active,5702,2025-06-27,81654.11
ONGC,Oil & Gas,ONGC-100230,"SPARE-Mud Pump Liner, Alloy Steel, SIZE 6 in",Pumps,Mud Pump Liner,API 7K,Alloy Steel,6 in,,,Zinc Plated,SET,Kirloskar,KIR-MPL-6in-08,Mumbai Offshore Complex,Active,6696,2025-01-29,25278.35
Coal India,Mining,CIL-400210,"COAL CUTTER PICK, Tungsten Carbide, SIZE M20",Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,,NOS,Sundram Fasteners,SUNFAS-CCP-M20-67,Korba Coalfields,Active,7555,2024-11-23,1748.88
Coal India,Mining,CIL-400211,STORES ITEM M20 COAL CUTTER PICK - Tungsten Carbide,Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,Zinc Plated,NOS,Unbrako,UNB-CCP-M20-14,Talcher Coalfields,Active,8029,2025-04-06,1395.75
SAIL,Steel,SAIL-300224,BLAST FURNACE TUYERE Copper Alloy DN 200,Pipes & Fittings,Blast Furnace Tuyere,IS 2062,Copper Alloy,DN 200,1000 mm,150 mm,Galvanized,MTR,Tata Steel,TATSTE-BFT-DN200-52,Bhilai Steel Plant,Active,6043,2025-06-12,61247.74
NMDC,Mining,NMDC-410206,"IND.Conveyor Idler Roller, Carbon Steel, SIZE DN 100",Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,,25 mm,Galvanized,MTR,Maharashtra Seamless,MAHSEA-CIR-DN100-57,Donimalai Iron Ore Mine,Active,7856,2024-02-12,7675.45
Coal India,Mining,CIL-400212,STORES ITEM M20 COAL CUTTER PICK - Tungsten Carbide,Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,None,NOS,Sundram Fasteners,SUNFAS-CCP-M20-46,Singareni Collieries,Active,2506,2025-07-12,1327.29
Coal India,Mining,CIL-400213,"STORES ITEM COAL CUTTER PICK, Tungsten Carbide, SIZE M20",Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,None,NOS,Sundram Fasteners,SUNFAS-CCP-M20-37,Korba Coalfields,Active,14884,2025-12-18,3058.16
BHEL,Heavy Engineering,BHEL-500217,"Steam Turbine Control Valve, ASTM A217 WC6, SIZE 6 in",Valves,Steam Turbine Control Valve,ASME B16.34,ASTM A217 WC6,6 in,,,Epoxy Coated,NOS,Leader Valves,LEAVAL-STCV-6in-55,Ranipet Complex,Active,12971,2025-06-11,80622.0
Coal India,Mining,CIL-400214,SPARE-COAL CUTTER PICK M20 Tungsten Carbide,Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,Zinc Plated,NOS,Precision Fasteners,PREFAS-CCP-M20-56,Jharia Coalfields,Active,13337,2025-12-28,2416.74
ONGC,Oil & Gas,ONGC-100231,"SUBSEA WELLHEAD SENSOR, SS316, SIZE 5000 psi",Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,ABB,ABB-SWS-5000psi-48,Uran Plant,Active,8968,2025-04-23,25726.89
NTPC,Power,NTPC-200204,"Boiler Feed Pump Motor, Copper Wound, SIZE 6.6 kV",Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,,,,MTR,ABB,ABB-BFPM-6.6kV-82,Singrauli STPS,Obsolete,13048,2025-05-01,22589.74
BHEL,Heavy Engineering,BHEL-500218,STORES ITEM Steam Turbine Control Valve ASTM A217 WC6 6 in,Valves,Steam Turbine Control Valve,ASME B16.34,ASTM A217 WC6,6 in,,,,NOS,L&T Valves,L&TVAL-STCV-6in-18,Bhopal Complex,Active,12833,2025-09-09,58533.95
ONGC,Oil & Gas,ONGC-100232,"SPARE-Subsea Wellhead Sensor, SS316, SIZE 5000 psi",Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,Emerson,EME-SWS-5000psi-10,Ankleshwar Asset,Active,11111,2024-10-24,92108.19
BHEL,Heavy Engineering,BHEL-500219,TURBINE GENERATOR STATOR COIL Copper 11 kV,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,100 m,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-89,Ranipet Complex,Obsolete,11155,2025-08-16,69088.14
BHEL,Heavy Engineering,BHEL-500220,STORES ITEM TURBINE GENERATOR STATOR COIL Copper 11 kV,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-45,Ranipet Complex,Active,9999,2025-09-16,70688.51
NMDC,Mining,NMDC-410207,IND.M24 x 100 Ore Crusher Hammer - Manganese Steel,Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,Zinc Plated,NOS,GKW,GKW-OCH-M24x100-03,Bailadila Iron Ore Mine,Obsolete,11100,2025-01-23,1048.39
Coal India,Mining,CIL-400215,"SPARE-Coal Cutter Pick, Tungsten Carbide, SIZE M20",Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,None,NOS,Sundram Fasteners,SUNFAS-CCP-M20-17,Korba Coalfields,Obsolete,11574,2024-01-14,2474.29
BHEL,Heavy Engineering,BHEL-500221,SPARE-Turbine Generator Stator Coil Copper 11 kV,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,1000 m,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-54,Trichy Complex,Slow-Moving,9663,2024-04-27,23613.19
IOCL,Oil & Gas,IOCL-110198,Coker Slide Valve 4 in ASTM A217 C5,Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,4 in,,NOS,L&T Valves,L&TVAL-CSV-4in-54,Gujarat Refinery,Active,5762,2025-07-27,29170.66
NTPC,Power,NTPC-200205,SPARE-0-15 m Coal Bunker Level Switch - SS316,Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Emerson,EME-CBLS-0-15m-59,Korba STPS,Active,11743,2024-07-30,43866.78
Coal India,Mining,CIL-400216,"STORES ITEM MINE DEWATERING PUMP, Cast Iron, SIZE DN 150",Pumps,Mine Dewatering Pump,IS 5120,Cast Iron,DN 150,,,,SET,Kirloskar,KIR-MDP-DN150-61,Jharia Coalfields,Obsolete,11697,2025-06-01,81720.6
NMDC,Mining,NMDC-410208,STORES ITEM DN 100 CONVEYOR IDLER ROLLER - Carbon Steel,Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,6 m,50 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-CIR-DN100-64,Bailadila Iron Ore Mine,Active,8544,2024-05-25,15721.23
SAIL,Steel,SAIL-300225,SPARE-Rolling Mill Drive Motor 11 kV Copper Wound,Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,1000 m,,,MTR,Crompton Greaves,CROGRE-RMDM-11kV-93,Rourkela Steel Plant,Active,613,2025-12-06,15649.5
HPCL,Oil & Gas,HPCL-120206,LPG BOTTLING PUMP DN 80 Carbon Steel,Pumps,LPG Bottling Pump,API 675,Carbon Steel,DN 80,,,,SET,Kirloskar,KIR-LBP-DN80-49,Bhatinda Refinery,Active,5586,2024-10-13,95525.9
NTPC,Power,NTPC-200206,IND.6.6 kV Boiler Feed Pump Motor - Copper Wound,Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,,,,MTR,Siemens,SIE-BFPM-6.6kV-94,Ramagundam STPS,Slow-Moving,13894,2025-11-02,35347.99
NTPC,Power,NTPC-200207,Coal Bunker Level Switch 0-15 m SS316,Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Yokogawa,YOK-CBLS-0-15m-08,Singrauli STPS,Active,9801,2025-08-25,58234.91
NTPC,Power,NTPC-200208,"Boiler Feed Pump Motor, Copper Wound, SIZE 6.6 kV",Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,,,,MTR,BHEL,BHE-BFPM-6.6kV-40,Singrauli STPS,Active,4615,2024-03-07,19027.93
Coal India,Mining,CIL-400217,STORES ITEM Coal Cutter Pick Tungsten Carbide M20,Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,,NOS,Unbrako,UNB-CCP-M20-07,Korba Coalfields,Active,4022,2025-03-03,1592.28
NMDC,Mining,NMDC-410209,ORE CRUSHER HAMMER M24 x 100 Manganese Steel,Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,,NOS,Unbrako,UNB-OCH-M24x100-18,Bailadila Iron Ore Mine,Active,14225,2025-08-08,1716.65
SAIL,Steel,SAIL-300226,Rolling Mill Drive Motor 11 kV Copper Wound,Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,1000 m,,,MTR,Havells,HAV-RMDM-11kV-92,Durgapur Steel Plant,Obsolete,11205,2025-07-15,7906.09
NTPC,Power,NTPC-200209,IND.BOILER FEED PUMP MOTOR 6.6 kV Copper Wound,Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,100 m,,,MTR,BHEL,BHE-BFPM-6.6kV-78,Ramagundam STPS,Active,2094,2024-11-11,41108.87
HPCL,Oil & Gas,HPCL-120207,Tank Farm Level Gauge SS304 0-20 m,Instrumentation,Tank Farm Level Gauge,API 2350,SS304,0-20 m,,,,NOS,Yokogawa,YOK-TFLG-0-20m-94,Visakh Refinery,Slow-Moving,7048,2025-05-05,15326.77
IOCL,Oil & Gas,IOCL-110199,STORES ITEM 4 in Coker Slide Valve - ASTM A217 C5,Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,4 in,,NOS,Audco,AUD-CSV-4in-28,Mathura Refinery,Active,11989,2025-11-01,7696.87
NMDC,Mining,NMDC-410210,STORES ITEM ORE CRUSHER HAMMER Manganese Steel M24 x 100,Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,None,NOS,Precision Fasteners,PREFAS-OCH-M24x100-24,Bailadila Iron Ore Mine,Active,11373,2025-06-11,2874.87
ONGC,Oil & Gas,ONGC-100233,Mud Pump Liner 6 in Alloy Steel,Pumps,Mud Pump Liner,API 7K,Alloy Steel,6 in,,,,SET,WPIL,WPI-MPL-6in-42,Sivasagar Asset,Active,9565,2025-08-20,56092.94
NTPC,Power,NTPC-200210,"STORES ITEM COAL BUNKER LEVEL SWITCH, SS316, SIZE 0-15 m",Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Honeywell,HON-CBLS-0-15m-80,Vindhyachal STPS,Active,9933,2025-05-22,74683.88
NMDC,Mining,NMDC-410211,DN 100 Conveyor Idler Roller - Carbon Steel,Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,1000 mm,DN 100,PTFE Lined,MTR,ISMT,ISM-CIR-DN100-04,Kirandul Complex,Active,7272,2024-04-21,16604.32
NMDC,Mining,NMDC-410212,SPARE-CONVEYOR IDLER ROLLER DN 100 Carbon Steel,Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,12 m,DN 100,PTFE Lined,MTR,Jindal Pipes,JINPIP-CIR-DN100-76,Bailadila Iron Ore Mine,Active,7281,2024-03-23,43010.46
IOCL,Oil & Gas,IOCL-110200,"SPARE-COKER SLIDE VALVE, ASTM A217 C5, SIZE 4 in",Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,,,NOS,KSB,KSB-CSV-4in-92,Panipat Refinery,Active,7377,2025-07-28,70787.0
BHEL,Heavy Engineering,BHEL-500222,Steam Turbine Control Valve 6 in ASTM A217 WC6,Valves,Steam Turbine Control Valve,ASME B16.34,ASTM A217 WC6,6 in,,,,NOS,Audco,AUD-STCV-6in-76,Trichy Complex,Slow-Moving,2506,2024-12-14,55191.97
ONGC,Oil & Gas,ONGC-100234,Subsea Wellhead Sensor 5000 psi SS316,Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,Emerson,EME-SWS-5000psi-64,Mumbai Offshore Complex,Active,10587,2025-09-07,47941.75
Coal India,Mining,CIL-400218,Coal Cutter Pick M20 Tungsten Carbide,Fasteners,Coal Cutter Pick,IS 4772,Tungsten Carbide,M20,,,Zinc Plated,NOS,Sundram Fasteners,SUNFAS-CCP-M20-53,Korba Coalfields,Active,14573,2024-02-12,1344.82
ONGC,Oil & Gas,ONGC-100235,SPARE-Christmas Tree Valve ASTM A182 F22 2 in,Valves,Christmas Tree Valve,API 6A,ASTM A182 F22,2 in,,,PTFE Lined,NOS,KSB,KSB-CTV-2in-84,Sivasagar Asset,Active,7743,2025-10-12,33633.99
SAIL,Steel,SAIL-300227,STORES ITEM BLAST FURNACE TUYERE Copper Alloy DN 200,Pipes & Fittings,Blast Furnace Tuyere,IS 2062,Copper Alloy,DN 200,6 m,DN 200,,MTR,Jindal Pipes,JINPIP-BFT-DN200-40,Durgapur Steel Plant,Active,11852,2025-01-24,57540.71
BHEL,Heavy Engineering,BHEL-500223,11 kV TURBINE GENERATOR STATOR COIL - Copper,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,1000 m,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-29,Bhopal Complex,Active,7080,2025-07-16,97461.69
NMDC,Mining,NMDC-410213,CONVEYOR IDLER ROLLER Carbon Steel DN 100,Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,,DN 100,,MTR,ISMT,ISM-CIR-DN100-72,Donimalai Iron Ore Mine,Active,14053,2025-03-02,57968.27
BHEL,Heavy Engineering,BHEL-500224,STORES ITEM Turbine Generator Stator Coil Copper 11 kV,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,,,,MTR,Havells,HAV-TGSC-11kV-31,Bhopal Complex,Active,7766,2024-01-05,16764.57
SAIL,Steel,SAIL-300228,DN 200 BLAST FURNACE TUYERE - Copper Alloy,Pipes & Fittings,Blast Furnace Tuyere,IS 2062,Copper Alloy,DN 200,3 m,200 mm,None,MTR,Tata Steel,TATSTE-BFT-DN200-39,Durgapur Steel Plant,Slow-Moving,568,2024-12-30,44758.71
ONGC,Oil & Gas,ONGC-100236,STORES ITEM MUD PUMP LINER Alloy Steel 6 in,Pumps,Mud Pump Liner,API 7K,Alloy Steel,6 in,,,Galvanized,SET,Mather+Platt,MAT-MPL-6in-77,Mumbai Offshore Complex,Active,13529,2024-01-09,148682.21
ONGC,Oil & Gas,ONGC-100237,IND.2 in CHRISTMAS TREE VALVE - ASTM A182 F22,Valves,Christmas Tree Valve,API 6A,ASTM A182 F22,2 in,,2 in,Zinc Plated,NOS,Audco,AUD-CTV-2in-58,Sivasagar Asset,Active,12968,2024-12-19,18069.02
ONGC,Oil & Gas,ONGC-100238,SPARE-Subsea Wellhead Sensor 5000 psi SS316,Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,Honeywell,HON-SWS-5000psi-43,Ankleshwar Asset,Active,11340,2025-12-14,8719.62
ONGC,Oil & Gas,ONGC-100239,IND.Christmas Tree Valve ASTM A182 F22 2 in,Valves,Christmas Tree Valve,API 6A,ASTM A182 F22,2 in,,,PTFE Lined,NOS,Leader Valves,LEAVAL-CTV-2in-44,Ankleshwar Asset,Active,12694,2025-12-01,64490.98
NTPC,Power,NTPC-200211,"Boiler Feed Pump Motor, Copper Wound, SIZE 6.6 kV",Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,,,,MTR,BHEL,BHE-BFPM-6.6kV-25,Vindhyachal STPS,Active,5826,2025-08-12,72069.13
ONGC,Oil & Gas,ONGC-100240,IND.2 in CHRISTMAS TREE VALVE - ASTM A182 F22,Valves,Christmas Tree Valve,API 6A,ASTM A182 F22,2 in,,,Epoxy Coated,NOS,Audco,AUD-CTV-2in-20,Rajahmundry Asset,Active,887,2025-06-20,79009.43
Coal India,Mining,CIL-400219,MINE DEWATERING PUMP DN 150 Cast Iron,Pumps,Mine Dewatering Pump,IS 5120,Cast Iron,DN 150,,DN 150,,SET,Mather+Platt,MAT-MDP-DN150-11,Singareni Collieries,Active,5361,2024-04-06,33356.36
IOCL,Oil & Gas,IOCL-110201,COKER SLIDE VALVE ASTM A217 C5 4 in,Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,,,NOS,KSB,KSB-CSV-4in-97,Haldia Refinery,Active,3105,2025-07-10,74350.32
IOCL,Oil & Gas,IOCL-110202,SPARE-COKER SLIDE VALVE ASTM A217 C5 4 in,Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,4 in,Epoxy Coated,NOS,Fouress,FOU-CSV-4in-12,Gujarat Refinery,Slow-Moving,12542,2024-06-19,18944.53
NMDC,Mining,NMDC-410214,IND.CONVEYOR IDLER ROLLER DN 100 Carbon Steel,Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,1000 mm,DN 100,None,MTR,Jindal Pipes,JINPIP-CIR-DN100-16,Kirandul Complex,Active,1020,2025-03-10,10502.79
NTPC,Power,NTPC-200212,STORES ITEM Boiler Feed Pump Motor Copper Wound 6.6 kV,Electrical,Boiler Feed Pump Motor,IS 12615,Copper Wound,6.6 kV,,,,MTR,ABB,ABB-BFPM-6.6kV-80,Ramagundam STPS,Obsolete,5141,2024-12-09,19959.53
ONGC,Oil & Gas,ONGC-100241,IND.MUD PUMP LINER 6 in Alloy Steel,Pumps,Mud Pump Liner,API 7K,Alloy Steel,6 in,,6 in,,SET,KSB,KSB-MPL-6in-87,Ankleshwar Asset,Obsolete,12511,2024-08-08,130187.3
SAIL,Steel,SAIL-300229,"Blast Furnace Tuyere, Copper Alloy, SIZE DN 200",Pipes & Fittings,Blast Furnace Tuyere,IS 2062,Copper Alloy,DN 200,,150 mm,Galvanized,MTR,ISMT,ISM-BFT-DN200-85,Bhilai Steel Plant,Active,13417,2024-09-05,40188.04
NMDC,Mining,NMDC-410215,"SPARE-Conveyor Idler Roller, Carbon Steel, SIZE DN 100",Pipes & Fittings,Conveyor Idler Roller,IS 8598,Carbon Steel,DN 100,6 m,DN 100,,MTR,Tata Steel,TATSTE-CIR-DN100-31,Kirandul Complex,Active,12618,2025-01-14,31933.75
BHEL,Heavy Engineering,BHEL-500225,"SPARE-STEAM TURBINE CONTROL VALVE, ASTM A217 WC6, SIZE 6 in",Valves,Steam Turbine Control Valve,ASME B16.34,ASTM A217 WC6,6 in,,6 in,,NOS,L&T Valves,L&TVAL-STCV-6in-38,Bhopal Complex,Slow-Moving,8591,2025-12-25,32268.24
NTPC,Power,NTPC-200213,"Coal Bunker Level Switch, SS316, SIZE 0-15 m",Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Yokogawa,YOK-CBLS-0-15m-48,Korba STPS,Active,9638,2025-05-10,83165.74
BHEL,Heavy Engineering,BHEL-500226,"TURBINE GENERATOR STATOR COIL, Copper, SIZE 11 kV",Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,100 m,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-88,Trichy Complex,Active,12866,2024-12-13,45680.36
IOCL,Oil & Gas,IOCL-110203,"IND.COKER SLIDE VALVE, ASTM A217 C5, SIZE 4 in",Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,4 in,Galvanized,NOS,Fouress,FOU-CSV-4in-11,Mathura Refinery,Active,9777,2025-07-17,71211.03
NTPC,Power,NTPC-200214,STORES ITEM COAL BUNKER LEVEL SWITCH 0-15 m SS316,Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Honeywell,HON-CBLS-0-15m-28,Dadri Plant,Slow-Moving,5931,2024-05-20,44645.33
BHEL,Heavy Engineering,BHEL-500227,SPARE-6 in Steam Turbine Control Valve - ASTM A217 WC6,Valves,Steam Turbine Control Valve,ASME B16.34,ASTM A217 WC6,6 in,,6 in,,NOS,KSB,KSB-STCV-6in-48,Hazira Complex,Active,219,2024-06-30,36403.66
ONGC,Oil & Gas,ONGC-100242,IND.5000 psi Subsea Wellhead Sensor - SS316,Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,Emerson,EME-SWS-5000psi-32,Uran Plant,Active,14476,2024-02-26,46671.08
HPCL,Oil & Gas,HPCL-120208,SPARE-Tank Farm Level Gauge 0-20 m SS304,Instrumentation,Tank Farm Level Gauge,API 2350,SS304,0-20 m,,,,NOS,Emerson,EME-TFLG-0-20m-07,Visakh Refinery,Active,11827,2024-07-29,30581.08
SAIL,Steel,SAIL-300230,STORES ITEM Rolling Mill Drive Motor 11 kV Copper Wound,Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,,,,MTR,Crompton Greaves,CROGRE-RMDM-11kV-69,Bhilai Steel Plant,Active,14609,2024-09-06,88268.23
HPCL,Oil & Gas,HPCL-120209,SPARE-Tank Farm Level Gauge SS304 0-20 m,Instrumentation,Tank Farm Level Gauge,API 2350,SS304,0-20 m,,,,NOS,Yokogawa,YOK-TFLG-0-20m-13,Visakh Refinery,Active,8987,2024-11-13,47140.75
HPCL,Oil & Gas,HPCL-120210,LPG Bottling Pump Carbon Steel DN 80,Pumps,LPG Bottling Pump,API 675,Carbon Steel,DN 80,,DN 80,,SET,KSB,KSB-LBP-DN80-23,Mumbai Refinery,Active,11906,2025-10-14,45707.53
NMDC,Mining,NMDC-410216,IND.ORE CRUSHER HAMMER Manganese Steel M24 x 100,Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,None,NOS,Unbrako,UNB-OCH-M24x100-87,Kirandul Complex,Active,7682,2025-06-06,2652.35
SAIL,Steel,SAIL-300231,11 kV Rolling Mill Drive Motor - Copper Wound,Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,,,,MTR,Havells,HAV-RMDM-11kV-03,Bhilai Steel Plant,Active,1683,2024-02-21,45507.07
BHEL,Heavy Engineering,BHEL-500228,11 kV Turbine Generator Stator Coil - Copper,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,,,,MTR,Siemens,SIE-TGSC-11kV-72,Bhopal Complex,Active,3600,2025-04-14,65474.03
ONGC,Oil & Gas,ONGC-100243,STORES ITEM MUD PUMP LINER Alloy Steel 6 in,Pumps,Mud Pump Liner,API 7K,Alloy Steel,6 in,,6 in,,SET,Kirloskar,KIR-MPL-6in-47,Rajahmundry Asset,Active,6528,2024-12-18,139052.65
Coal India,Mining,CIL-400220,MINE DEWATERING PUMP Cast Iron DN 150,Pumps,Mine Dewatering Pump,IS 5120,Cast Iron,DN 150,,,,SET,WPIL,WPI-MDP-DN150-31,Talcher Coalfields,Slow-Moving,13918,2025-03-11,98555.25
NTPC,Power,NTPC-200215,"COAL BUNKER LEVEL SWITCH, SS316, SIZE 0-15 m",Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Emerson,EME-CBLS-0-15m-98,Dadri Plant,Obsolete,6149,2025-01-07,13213.45
BHEL,Heavy Engineering,BHEL-500229,"IND.Turbine Generator Stator Coil, Copper, SIZE 11 kV",Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,,,,MTR,Siemens,SIE-TGSC-11kV-96,Ranipet Complex,Active,10786,2024-10-22,109434.31
NMDC,Mining,NMDC-410217,"IND.ORE CRUSHER HAMMER, Manganese Steel, SIZE M24 x 100",Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,None,NOS,GKW,GKW-OCH-M24x100-23,Donimalai Iron Ore Mine,Active,11190,2024-04-23,2033.01
IOCL,Oil & Gas,IOCL-110204,"COKER SLIDE VALVE, ASTM A217 C5, SIZE 4 in",Valves,Coker Slide Valve,API 599,ASTM A217 C5,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-CSV-4in-48,Panipat Refinery,Active,6550,2025-06-28,31868.89
NMDC,Mining,NMDC-410218,ORE CRUSHER HAMMER Manganese Steel M24 x 100,Fasteners,Ore Crusher Hammer,IS 4772,Manganese Steel,M24 x 100,100 mm,,None,NOS,GKW,GKW-OCH-M24x100-50,Donimalai Iron Ore Mine,Active,14834,2025-05-09,631.68
ONGC,Oil & Gas,ONGC-100244,"SUBSEA WELLHEAD SENSOR, SS316, SIZE 5000 psi",Instrumentation,Subsea Wellhead Sensor,API 6A,SS316,5000 psi,,,,NOS,Emerson,EME-SWS-5000psi-01,Ankleshwar Asset,Active,9935,2025-10-18,76439.75
NTPC,Power,NTPC-200216,IND.Coal Bunker Level Switch 0-15 m SS316,Instrumentation,Coal Bunker Level Switch,IEC 60529,SS316,0-15 m,,,,NOS,Yokogawa,YOK-CBLS-0-15m-98,Singrauli STPS,Active,2797,2025-05-09,61188.15
ONGC,Oil & Gas,ONGC-100245,Christmas Tree Valve ASTM A182 F22 2 in,Valves,Christmas Tree Valve,API 6A,ASTM A182 F22,2 in,,2 in,Galvanized,NOS,L&T Valves,L&TVAL-CTV-2in-49,Mumbai Offshore Complex,Active,8464,2024-06-09,50940.75
SAIL,Steel,SAIL-300232,ROLLING MILL DRIVE MOTOR Copper Wound 11 kV,Electrical,Rolling Mill Drive Motor,IS 12615,Copper Wound,11 kV,100 m,,,MTR,BHEL,BHE-RMDM-11kV-69,Bhilai Steel Plant,Active,13943,2025-05-06,104123.77
Coal India,Mining,CIL-400221,"SPARE-Mine Dewatering Pump, Cast Iron, SIZE DN 150",Pumps,Mine Dewatering Pump,IS 5120,Cast Iron,DN 150,,,,SET,Mather+Platt,MAT-MDP-DN150-37,Jharia Coalfields,Obsolete,2258,2024-04-19,125500.77
BHEL,Heavy Engineering,BHEL-500230,TURBINE GENERATOR STATOR COIL 11 kV Copper,Electrical,Turbine Generator Stator Coil,IS 12066,Copper,11 kV,100 m,,,MTR,Crompton Greaves,CROGRE-TGSC-11kV-43,Ranipet Complex,Active,8807,2025-11-09,19563.6
IOCL,Oil & Gas,IOCL-110205,IND.REFINERY FLARE SENSOR 1/2 in NPT SS316,Instrumentation,Refinery Flare Sensor,API 537,SS316,1/2 in NPT,,,,NOS,Emerson,EME-RFS-1-2inNPT-81,Gujarat Refinery,Obsolete,3328,2024-04-06,30338.34
HPCL,Oil & Gas,HPCL-120211,STORES ITEM 0-20 m Tank Farm Level Gauge - SS304,Instrumentation,Tank Farm Level Gauge,API 2350,SS304,0-20 m,,,,NOS,ABB,ABB-TFLG-0-20m-23,Visakh Refinery,Active,3620,2025-05-14,26721.66
IOCL,Oil & Gas,IOCL-110206,"REFINERY FLARE SENSOR, SS316, SIZE 1/2 in NPT",Instrumentation,Refinery Flare Sensor,API 537,SS316,1/2 in NPT,,,,NOS,Yokogawa,YOK-RFS-1-2inNPT-83,Mathura Refinery,Active,1914,2024-07-31,71625.64
